245968	漳州市交通建设投资开发有限公司	招标人:漳州市交通建设投资开发有限公司	招标人/n/N :/x/N 漳州市/ns/Y 交通/n/Y 建设/vn/Y 投资/vn/Y 开发/v/Y 有限公司/n/Y
1078178	国家电网公司	依据国家电网公司的国网招投标网(http://newbidding.sgcc.com.cn)于2010年7月20日晚公告的“国家电网公司集中规模招标采购2010年电能表第二批项目智能电能表招标中标人名单(招标编号:0711-10OTL072)”和“国家电网公司集中规模招标采购2010年电能表第二批项目单项普通电能表招标中标人名单(招标编号:	依据/p/N 国家电网/nz/Y 公司/n/Y 的/uj/N 国网/n/N 招投标/j/N 网/n/N (/x/N http/eng/N :/x/N //x/N //x/N newbidding/eng/N ./m/N sgcc/eng/N ./m/N com/eng/N ./m/N cn/eng/N )/x/N 于/p/N 2010/m/N 年/m/N 7/m/N 月/m/N 20/m/N 日晚/t/N 公告/n/N 的/uj/N “/x/N 国家电网/nz/N 公司/n/N 集中/v/N 规模/n/N 招标/n/N 采购/v/N 2010/m/N 年/m/N 电能表/n/N 第二批/m/N 项目/n/N 智能/n/N 电能表/n/N 招标/n/N 中标人/n/N 名单/n/N (/x/N 招标/n/N 编号/n/N :/x/N 0711/m/N -/x/N 10/m/N OTL072/eng/N )/x/N ”/x/N 和/c/N “/x/N 国家电网/nz/N 公司/n/N 集中/v/N 规模/n/N 招标/n/N 采购/v/N 2010/m/N 年/m/N 电能表/n/N 第二批/m/N 项目/n/N 单项/b/N 普通/nz/N 电能表/n/N 招标/n/N 中标人/n/N 名单/n/N (/x/N 招标/n/N 编号/n/N :/x/N
1078178	国家电网公司	目前,公司尚未收到国家电网公司及其相关代理机构发给公司的中标通知书,待公司接到正式通知后,将与国网公司以及各省市电力公司商定合同细节,并签署购销合同	目前/t/N ,/x/N 公司/n/N 尚未/d/N 收到/v/N 国家电网/nz/Y 公司/n/Y 及其/c/N 相关/v/N 代理/n/N 机构/n/N 发给/vn/N 公司/n/N 的/uj/N 中标/n/N 通知书/nr/N ,/x/N 待/v/N 公司/n/N 接到/v/N 正式/ad/N 通知/v/N 后/f/N ,/x/N 将/d/N 与/p/N 国网公司/nt/N 以及/c/N 各省市/ns/N 电力公司/n/N 商定/n/N 合同/a/N 细节/n/N ,/x/N 并/c/N 签署/v/N 购销/v/N 合同/a/N
871558	国家电网公司	深圳市科陆电子科技股份有限公司(以下简称“公司”)收到中电技国际招标有限责任公司及相关代理机构发给本公司的中标通知书,在“国家电网公司集中规模招标采购2011年电能表第一批项目”(招标编号:0711-11OTL133)的招标活动中,我公司为此项目第一分标“2级单相智能电能表”、第二分标“1级三相智能电能表”和第三分标“0.5S级三相智能电能表”中标人,共中13个包,中标的智能电能表总数量为793,399只,中标总金额为1.78亿元	深圳市/ns/N 科陆/n/N 电子/n/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 收到/v/N 中电技/nt/N 国际/n/N 招标/n/N 有限责任/l/N 公司/n/N 及/c/N 相关/v/N 代理/n/N 机构/n/N 发给/vn/N 本/r/N 公司/n/N 的/uj/N 中标/n/N 通知书/nr/N ,/x/N 在/p/N “/x/N 国家电网/nz/Y 公司/n/Y 集中/v/N 规模/n/N 招标/n/N 采购/v/N 2011/m/N 年/m/N 电能表/n/N 第一批/m/N 项目/n/N ”/x/N (/x/N 招标/n/N 编号/n/N :/x/N 0711/m/N -/x/N 11/m/N OTL133/eng/N )/x/N 的/uj/N 招标/n/N 活动/vn/N 中/f/N ,/x/N 我/r/N 公司/n/N 为此/r/N 项目/n/N 第一分/m/N 标/n/N “/x/N 2/m/N 级/q/N 单相/n/N 智能/n/N 电能表/n/N ”/x/N 、/x/N 第二分/m/N 标/n/N “/x/N 1/m/N 级/q/N 三相/n/N 智能/n/N 电能表/n/N ”/x/N 和/c/N 第三分/m/N 标/n/N “/x/N 0.5/m/N S/eng/N 级/q/N 三相/n/N 智能/n/N 电能表/n/N ”/x/N 中标人/n/N ,/x/N 共中/d/N 13/m/N 个/m/N 包/v/N ,/x/N 中/f/N 标的/n/N 智能/n/N 电能表/n/N 总/b/N 数量/n/N 为/p/N 793/m/N ,/x/N 399/m/N 只/c/N ,/x/N 中标/n/N 总金额/n/N 为/p/N 1.78/m/N 亿元/m/N
871558	国家电网公司	此次招标活动由国家电网公司委托中电技国际招标有限责任公司等相关代理机构,采用公开招标方式进行	此次/r/N 招标/n/N 活动/vn/N 由/p/N 国家电网/nz/Y 公司/n/Y 委托/n/N 中电技/nt/N 国际/n/N 招标/n/N 有限责任/l/N 公司/n/N 等/u/N 相关/v/N 代理/n/N 机构/n/N ,/x/N 采用/v/N 公开招标/n/N 方式/n/N 进行/v/N
871558	国家电网公司	招标人:国家电网公司注册资本:2000亿元	招标人/n/N :/x/N 国家电网/nz/Y 公司/n/Y 注册资本/n/N :/x/N 2000/m/N 亿元/m/N
871558	国家电网公司	自国家电网公司于2009年12月集中规模招标采购智能电能表开始,公司累计中标国家电网公司规模招标采购的智能电能表的总金额为9.58亿元	自/p/N 国家电网/nz/Y 公司/n/Y 于/p/N 2009/m/N 年/m/N 12/m/N 月/m/N 集中/v/N 规模/n/N 招标/n/N 采购/v/N 智能/n/N 电能表/n/N 开始/v/N ,/x/N 公司/n/N 累计/v/N 中标/n/N 国家电网/nz/N 公司/n/N 规模/n/N 招标/n/N 采购/v/N 的/uj/N 智能/n/N 电能表/n/N 的/uj/N 总金额/n/N 为/p/N 9.58/m/N 亿元/m/N
871558	国家电网公司	国家电网公司与本公司不存在任何关联关系	国家电网/nz/Y 公司/n/Y 与/p/N 本/r/N 公司/n/N 不/d/N 存在/v/N 任何/r/N 关联/ns/N 关系/n/N
1848164	南昌轨道交通集团有限公司	招标人:南昌轨道交通集团有限公司	招标人/n/N :/x/N 南昌/ns/Y 轨道交通/n/Y 集团/n/Y 有限公司/n/Y
2356230	国家电网公司	日前,国家电网公司电子商务平台(http://ecp.sgcc.com.cn)发布了“国家电网公司2016年昌吉-古泉±1100KV特高压直流工程第一批设备招标采购中标公告”(以下简称“中标公告”),河南平高电气股份有限公司(以下简称“公司”)为相关中标人,现将有关情况公告如下:	日前/t/N ,/x/N 国家电网/nz/Y 公司/n/Y 电子商务/n/N 平台/n/N (/x/N http/eng/N :/x/N //x/N //x/N ecp/eng/N ./m/N sgcc/eng/N ./m/N com/eng/N ./m/N cn/eng/N )/x/N 发布/v/N 了/ul/N “/x/N 国家电网/nz/N 公司/n/N 2016/m/N 年/m/N 昌吉/nr/N -/x/N 古泉/nr/N ±/x/N 1100/m/N KV/eng/N 特高压/n/N 直流/n/N 工程/n/N 第一批/m/N 设备/vn/N 招标/n/N 采购/v/N 中标/n/N 公告/n/N ”/x/N (/x/N 以下/f/N 简称/v/N “/x/N 中标/n/N 公告/n/N ”/x/N )/x/N ,/x/N 河南/ns/N 平高电气/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 为/p/N 相关/v/N 中标人/n/N ,/x/N 现/tg/N 将/d/N 有关/vn/N 情况/n/N 公告/n/N 如下/t/N :/x/N
2356230	国家电网公司	本次中标公告媒体为国家电网公司电子商务平台,具体内容详见:http://ecp.sgcc.com.cn/html/news/014001007/38656.html	本次/r/N 中标/n/N 公告/n/N 媒体/n/N 为/p/N 国家电网/nz/Y 公司/n/Y 电子商务/n/N 平台/n/N ,/x/N 具体内容/n/N 详见/a/N :/x/N http/eng/N :/x/N //x/N //x/N ecp/eng/N ./m/N sgcc/eng/N ./m/N com/eng/N ./m/N cn/eng/N //x/N html/eng/N //x/N news/eng/N //x/N 014001007/m/N //x/N 38656./m/N html/eng/N
2356230	国家电网公司	目前,公司尚未与国家电网公司相关机构签署正式商务合同,敬请广大投资者谨慎决策,注意投资风险	目前/t/N ,/x/N 公司/n/N 尚未/d/N 与/p/N 国家电网/nz/Y 公司/n/Y 相关/v/N 机构/n/N 签署/v/N 正式/ad/N 商务/n/N 合同/a/N ,/x/N 敬请/v/N 广大/a/N 投资者/n/N 谨慎/a/N 决策/n/N ,/x/N 注意/v/N 投资/vn/N 风险/n/N
9907959	阿尔及利亚卡塔尔公司	2016年7月26日,中钢国际工程技术股份有限公司(以下简称“公司”)全资子公司中钢设备有限公司与阿尔及利亚卡塔尔公司(AQS)签署了250万吨直接还原铁(DRI)项目工程总承包合同,合同总金额1.62亿美元,约合人民币10.82亿元,为公司2015年营业总收入97.51亿元的11.10%	2016/m/N 年/m/N 7/m/N 月/m/N 26/m/N 日/m/N ,/x/N 中/f/N 钢/n/N 国际/n/N 工程技术/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 全资/n/N 子公司/n/N 中/f/N 钢/n/N 设备/vn/N 有限公司/n/N 与/p/N 阿尔及利亚/ns/Y 卡塔尔/nr/Y 公司/n/Y (/x/N AQS/eng/N )/x/N 签署/v/N 了/ul/N 250/m/N 万吨/m/N 直接/ad/N 还原铁/n/N (/x/N DRI/eng/N )/x/N 项目/n/N 工程/n/N 总/b/N 承包合同/n/N ,/x/N 合同/a/N 总金额/n/N 1.62/m/N 亿美元/m/N ,/x/N 约合/vn/N 人民币/n/N 10.82/m/N 亿元/m/N ,/x/N 为/p/N 公司/n/N 2015/m/N 年/m/N 营业/n/N 总收入/n/N 97.51/m/N 亿元/m/N 的/uj/N 11.10/m/N %/x/N
1790062	国家电网公司	2015年10月22日下午17:00左右,国家电网公司通过其电子商务平台发布了	2015/m/N 年/m/N 10/m/N 月/m/N 22/m/N 日/m/N 下午/t/N 17/m/N :/x/N 00/m/N 左右/m/N ,/x/N 国家电网/nz/Y 公司/n/Y 通过/p/N 其/r/N 电子商务/n/N 平台/n/N 发布/v/N 了/ul/N
1790062	国家电网公司	《推荐的中标候选人公示-国家电网公司2015年酒泉-湖南、晋北-南京±800千伏特高压直流输电线路工程盘形绝缘子集中招标活动》,其中浙江金利华电气股份有限公司(以下简称“本公司”或“公司”)预中标玻璃绝缘子1.52亿元人民币	《/x/N 推荐/v/N 的/uj/N 中标/n/N 候选人/n/N 公示/v/N -/x/N 国家电网/nz/Y 公司/n/Y 2015/m/N 年/m/N 酒泉/n/N -/x/N 湖南/ns/N 、/x/N 晋北/ns/N -/x/N 南京/ns/N ±/x/N 800/m/N 千伏/q/N 特高压/n/N 直流/n/N 输电/v/N 线路/n/N 工程/n/N 盘/q/N 形/n/N 绝缘子/n/N 集中/v/N 招标/n/N 活动/vn/N 》/x/N ,/x/N 其中/r/N 浙江/ns/N 金利/nz/N 华/ns/N 电气/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 本/r/N 公司/n/N ”/x/N 或/c/N “/x/N 公司/n/N ”/x/N )/x/N 预/v/N 中标/n/N 玻璃/n/N 绝缘子/n/N 1.52/m/N 亿元/m/N 人民币/n/N
1790062	国家电网公司	项目名称:国家电网公司2015年酒泉-湖南、晋北-南京±800千伏特高压直流输电线路工程盘形绝缘子集中招标活动	项目名称/n/N :/x/N 国家电网/nz/Y 公司/n/Y 2015/m/N 年/m/N 酒泉/n/N -/x/N 湖南/ns/N 、/x/N 晋北/ns/N -/x/N 南京/ns/N ±/x/N 800/m/N 千伏/q/N 特高压/n/N 直流/n/N 输电/v/N 线路/n/N 工程/n/N 盘/q/N 形/n/N 绝缘子/n/N 集中/v/N 招标/n/N 活动/vn/N
1790062	国家电网公司	招标人:国家电网公司	招标人/n/N :/x/N 国家电网/nz/Y 公司/n/Y
20247262	杭州市地铁集团有限责任公司	浙江金盾风机股份有限公司(以下简称“公司”)于近日收到杭州市地铁集团有限责任公司发放的中标通知书,显示公司已正式中标杭州地铁5号线一期工程通风空调系统轴流风机及消声器设备采购项目(项目编号	浙江/ns/N 金盾/nr/N 风机/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 于/p/N 近日/t/N 收到/v/N 杭州市/ns/Y 地铁/n/Y 集团/n/Y 有限责任/l/Y 公司/n/Y 发放/v/N 的/uj/N 中标/n/N 通知书/nr/N ,/x/N 显示/v/N 公司/n/N 已/d/N 正式/ad/N 中标/n/N 杭州/ns/N 地铁/n/N 5/m/N 号线/n/N 一期/d/N 工程/n/N 通风/n/N 空调/n/N 系统/n/N 轴流/n/N 风机/n/N 及/c/N 消声器/l/N 设备/vn/N 采购/v/N 项目/n/N (/x/N 项目编号/n/N
20247262	杭州市地铁集团有限责任公司	此次中标充分展现了杭州市地铁集团有限责任公司和公司之间的支持和信任,为后续更加高效的合作提供了良好的条件,奠定了坚实的基础,坚定了合作的信心	此次/r/N 中标/n/N 充分/ad/N 展现/v/N 了/ul/N 杭州市/ns/Y 地铁/n/Y 集团/n/Y 有限责任/l/Y 公司/n/Y 和/c/N 公司/n/N 之间/f/N 的/uj/N 支持/v/N 和/c/N 信任/n/N ,/x/N 为/p/N 后续/v/N 更加/d/N 高效/a/N 的/uj/N 合作/vn/N 提供/v/N 了/ul/N 良好/a/N 的/uj/N 条件/n/N ,/x/N 奠定/v/N 了/ul/N 坚实/ad/N 的/uj/N 基础/n/N ,/x/N 坚定/a/N 了/ul/N 合作/vn/N 的/uj/N 信心/n/N
15335258	北京市南水北调工程建设管理中心	北京市南水北调工程建设管理中心	北京市/ns/Y 南水北调/nz/Y 工程建设/l/Y 管理中心/n/Y
1783137	锡林郭勒盟公共资源交易中心	深圳市科陆电子科技股份有限公司(以下简称“公司”)近日收到锡林郭勒盟公共资源交易中心发来的《中标通知书》,该通知书确定公司为“锡林郭勒盟所属9个地区2015年新能源通电设备升级改造工程项目”(编号:XMGGCG2015-GKZB042)中标(入围)供应商	深圳市/ns/N 科陆/n/N 电子/n/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 近日/t/N 收到/v/N 锡林郭勒盟/ns/Y 公共资源/n/Y 交易中心/nt/Y 发来/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N ,/x/N 该/r/N 通知书/nr/N 确定/v/N 公司/n/N 为/p/N “/x/N 锡林郭勒盟/ns/N 所属/b/N 9/m/N 个/m/N 地区/n/N 2015/m/N 年/m/N 新能源/n/N 通电/j/N 设备/vn/N 升级/vn/N 改造/v/N 工程项目/n/N ”/x/N (/x/N 编号/n/N :/x/N XMGGCG2015/eng/N -/x/N GKZB042/eng/N )/x/N 中标/n/N (/x/N 入围/v/N )/x/N 供应商/n/N
1783137	锡林郭勒盟公共资源交易中心	本次招标活动由锡林郭勒盟有关旗市区农工部、发改委委托锡林郭勒盟公共资源交易中心,按照规定程序采用公开招标方式进行	本次/r/N 招标/n/N 活动/vn/N 由/p/N 锡林郭勒盟/ns/N 有关/vn/N 旗/n/N 市区/n/N 农工部/nt/N 、/x/N 发改委/j/N 委托/n/N 锡林郭勒盟/ns/Y 公共资源/n/Y 交易中心/nt/Y ,/x/N 按照/p/N 规定/n/N 程序/n/N 采用/v/N 公开招标/n/N 方式/n/N 进行/v/N
19300324	浏阳市交通建设投资有限公司	合诚工程咨询集团股份有限公司(以下简称“合诚股份”或“公司”)近日收到招标人浏阳市交通建设投资有限公司发来的《中标通知书》,确定合诚股份为“金阳大道三期(G31	合诚/a/N 工程/n/N 咨询/vn/N 集团股份/nz/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 合诚/a/N 股份/n/N ”/x/N 或/c/N “/x/N 公司/n/N ”/x/N )/x/N 近日/t/N 收到/v/N 招标人/n/N 浏阳市/ns/Y 交通/n/Y 建设/vn/Y 投资/vn/Y 有限公司/n/Y 发来/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N ,/x/N 确定/v/N 合诚/a/N 股份/n/N 为/p/N “/x/N 金阳/ns/N 大道/n/N 三期/t/N (/x/N G31/eng/N
1878244	上汽大通汽车有限公司	天奇自动化工程股份有限公司(以下简称“本公司”)于2016年1月26日收到上海机电设备招标有限公司的通知,本公司中标上汽大通汽车有限公司(以下简称“上汽大通”)总装生产线项目,中标金额为不含税价6,978万元人民币,交货期为2016年8月30日	天奇/nr/N 自动化/l/N 工程/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 本/r/N 公司/n/N ”/x/N )/x/N 于/p/N 2016/m/N 年/m/N 1/m/N 月/m/N 26/m/N 日/m/N 收到/v/N 上海/ns/N 机电设备/n/N 招标/n/N 有限公司/n/N 的/uj/N 通知/v/N ,/x/N 本/r/N 公司/n/N 中标/n/N 上汽/j/Y 大通/nz/Y 汽车/n/Y 有限公司/n/Y (/x/N 以下/f/N 简称/v/N “/x/N 上汽/j/N 大通/nz/N ”/x/N )/x/N 总装/n/N 生产线/n/N 项目/n/N ,/x/N 中标/n/N 金额/n/N 为/p/N 不含税/l/N 价/n/N 6/m/N ,/x/N 978/m/N 万元/m/N 人民币/n/N ,/x/N 交货期/n/N 为/p/N 2016/m/N 年/m/N 8/m/N 月/m/N 30/m/N 日/m/N
1878244	上汽大通汽车有限公司	上汽大通汽车有限公司是上海汽车集团股份有限公司的全资子公司,成立于2011年3月21日,注册资金23.5亿元人民币,下设无锡申联专用汽车有限公司	上汽/j/Y 大通/nz/Y 汽车/n/Y 有限公司/n/Y 是/v/N 上海/ns/N 汽车/n/N 集团股份/nz/N 有限公司/n/N 的/uj/N 全资/n/N 子公司/n/N ,/x/N 成立/v/N 于/p/N 2011/m/N 年/m/N 3/m/N 月/m/N 21/m/N 日/m/N ,/x/N 注册资金/n/N 23.5/m/N 亿元/m/N 人民币/n/N ,/x/N 下设/v/N 无锡/ns/N 申联/nz/N 专用汽车/n/N 有限公司/n/N
1878244	上汽大通汽车有限公司	上汽大通汽车有限公司与本公司不存在关联关系	上汽/j/Y 大通/nz/Y 汽车/n/Y 有限公司/n/Y 与/p/N 本/r/N 公司/n/N 不/d/N 存在/v/N 关联/ns/N 关系/n/N
1878244	上汽大通汽车有限公司	上汽大通汽车有限公司上一会计年度(2015年度)与本公司发生的类似业务交易金额为0万元人民币	上汽/j/Y 大通/nz/Y 汽车/n/Y 有限公司/n/Y 上/f/N 一/m/N 会计年度/n/N (/x/N 2015/m/N 年度/n/N )/x/N 与/p/N 本/r/N 公司/n/N 发生/v/N 的/uj/N 类似/v/N 业务/n/N 交易/n/N 金额/n/N 为/p/N 0/m/N 万元/m/N 人民币/n/N
1878244	上汽大通汽车有限公司	上海汽车集团股份有限公司,是世界第七大汽车制造集团,国内A股市场最大的汽车上市公司,作为上汽集团的全资子公司,上汽大通汽车有限公司实力雄厚,本公司认为交易履约风险小	上海/ns/N 汽车/n/N 集团股份/nz/N 有限公司/n/N ,/x/N 是/v/N 世界/n/N 第七/m/N 大/a/N 汽车/n/N 制造/v/N 集团/n/N ,/x/N 国内/s/N A股/n/N 市场/n/N 最大/a/N 的/uj/N 汽车/n/N 上市公司/nt/N ,/x/N 作为/v/N 上汽/j/N 集团/n/N 的/uj/N 全资/n/N 子公司/n/N ,/x/N 上汽/j/Y 大通/nz/Y 汽车/n/Y 有限公司/n/Y 实力雄厚/l/N ,/x/N 本/r/N 公司/n/N 认为/v/N 交易/n/N 履约/v/N 风险/n/N 小/a/N
1839836	哈萨克斯坦石油化工工业公司	近日,公司与哈萨克斯坦石油化工工业公司(KazakhstanPetrochemicalIndustriesInc.)(以下简称“项目合作方”)签署了哈萨克斯坦天然气化工综合体项目工程总承包合同	近日/t/N ,/x/N 公司/n/N 与/p/N 哈萨克斯坦/nrt/Y 石油化工/n/Y 工业/n/Y 公司/n/Y (/x/N KazakhstanPetrochemicalIndustriesInc/eng/N ./m/N )/x/N (/x/N 以下/f/N 简称/v/N “/x/N 项目/n/N 合作方/n/N ”/x/N )/x/N 签署/v/N 了/ul/N 哈萨克斯坦/nrt/N 天然气/n/N 化工/n/N 综合体/n/N 项目/n/N 工程/n/N 总/b/N 承包合同/n/N
16752590	宁波杭州湾新区开发建设管理委员会	公司于2016年9月13日公告了《关于子公司与宁波杭州湾新区开发建设管理委员会签署战略合作框架协议的公告》(详见临2016-079公告),公司将根据自身的优势,在基础设施建设、产业投资、地产开发等领域与杭州湾新区管委会开展全面合作	公司/n/N 于/p/N 2016/m/N 年/m/N 9/m/N 月/m/N 13/m/N 日/m/N 公告/n/N 了/ul/N 《/x/N 关于/p/N 子公司/n/N 与/p/N 宁波/ns/Y 杭州湾/ns/Y 新区/ns/Y 开发/v/Y 建设/vn/Y 管理/vn/Y 委员会/n/Y 签署/v/N 战略/n/N 合作/vn/N 框架/n/N 协议/n/N 的/uj/N 公告/n/N 》/x/N (/x/N 详见/a/N 临/ns/N 2016/m/N -/x/N 079/m/N 公告/n/N )/x/N ,/x/N 公司/n/N 将/d/N 根据/p/N 自身/r/N 的/uj/N 优势/n/N ,/x/N 在/p/N 基础设施/n/N 建设/vn/N 、/x/N 产业/n/N 投资/vn/N 、/x/N 地产/n/N 开发/v/N 等/u/N 领域/n/N 与/p/N 杭州湾/ns/N 新区/ns/N 管委会/j/N 开展/v/N 全面/n/N 合作/vn/N
1806226	国家电网公司	近日,江苏中超控股股份有限公司(以下简称“公司”、“本公司”)收到了国家电网公司通过其电子商务平台发布的各省电网关于《国家电网公司	近日/t/N ,/x/N 江苏/ns/N 中/f/N 超/v/N 控股/v/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N 、/x/N “/x/N 本/r/N 公司/n/N ”/x/N )/x/N 收到/v/N 了/ul/N 国家电网/nz/Y 公司/n/Y 通过/p/N 其/r/N 电子商务/n/N 平台/n/N 发布/v/N 的/uj/N 各省/r/N 电网/n/N 关于/p/N 《/x/N 国家电网/nz/N 公司/n/N
1806226	国家电网公司	本次中标金额共计17,561.77万元,中标金额占公司2014年度经审计营业总收入的3.61%,公司与国家电网公司及省网公司之间不存在关联关系	本次/r/N 中标/n/N 金额/n/N 共计/v/N 17/m/N ,/x/N 561.77/m/N 万元/m/N ,/x/N 中标/n/N 金额/n/N 占/v/N 公司/n/N 2014/m/N 年度/n/N 经/n/N 审计/v/N 营业/n/N 总收入/n/N 的/uj/N 3.61/m/N %/x/N ,/x/N 公司/n/N 与/p/N 国家电网/nz/Y 公司/n/Y 及/c/N 省网/n/N 公司/n/N 之间/f/N 不/d/N 存在/v/N 关联/ns/N 关系/n/N
1806226	国家电网公司	2014年度国家电网公司及省网公司与本公司发生类似业务金额约18亿元,占公司	2014/m/N 年度/n/N 国家电网/nz/Y 公司/n/Y 及/c/N 省网/n/N 公司/n/N 与/p/N 本/r/N 公司/n/N 发生/v/N 类似/v/N 业务/n/N 金额/n/N 约/d/N 18/m/N 亿元/m/N ,/x/N 占/v/N 公司/n/N
1806226	国家电网公司	本公司已收到上述国家电网公司及省网公司的中标通知书,但尚未签署有关合同,项目具体内容以最终签署的合同为准	本/r/N 公司/n/N 已/d/N 收到/v/N 上述/b/N 国家电网/nz/Y 公司/n/Y 及/c/N 省网/n/N 公司/n/N 的/uj/N 中标/n/N 通知书/nr/N ,/x/N 但/c/N 尚未/d/N 签署/v/N 有关/vn/N 合同/a/N ,/x/N 项目/n/N 具体内容/n/N 以/p/N 最终/d/N 签署/v/N 的/uj/N 合同/a/N 为准/v/N
15920456	邻水县公共资源交易中心及邻水县住房和城乡规划建设局	近日,公司收到招标人邻水县公共资源交易中心及邻水县住房和城乡规划建设局发出的《中标通知书》,确定公司为御临河关门石至曹家滩及其支流综合整治工程PPP项目的中标人	近日/t/N ,/x/N 公司/n/N 收到/v/N 招标人/n/N 邻水县/n/Y 公共资源/n/Y 交易中心/nt/Y 及/c/Y 邻水县/n/Y 住房/n/Y 和/c/Y 城乡规划/n/Y 建设局/nt/Y 发出/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N ,/x/N 确定/v/N 公司/n/N 为/p/N 御/vg/N 临河/ns/N 关门/n/N 石/ng/N 至/p/N 曹家滩/nr/N 及其/c/N 支流/n/N 综合/vn/N 整治/n/N 工程/n/N PPP/eng/N 项目/n/N 的/uj/N 中标人/n/N
1291282	沙特SABIC-JubailChemicalStorageandServicesCompany	近日,本公司所属全资控股子公司中国成达工程有限公司与沙特SABIC-JubailChemicalStorageandServicesCompany公司签署了沙特SABICPCQ-2罐区项目工程承包合同	近日/t/N ,/x/N 本/r/N 公司/n/N 所属/b/N 全资/n/N 控股/v/N 子公司/n/N 中国/ns/N 成/n/N 达/v/N 工程/n/N 有限公司/n/N 与/p/N 沙特/nr/Y SABIC/eng/Y -/x/Y JubailChemicalStorageandServicesCompany/eng/Y 公司/n/N 签署/v/N 了/ul/N 沙特/nr/N SABICPCQ/eng/N -/x/N 2/m/N 罐区/n/N 项目/n/N 工程/n/N 承包合同/n/N
16780123	滁州市南谯城乡建设投资发展有限公司	该项目招标单位为滁州皇庆圩现代农业开发有限公司、滁州市南谯城乡建设投资发展有限公司	该/r/N 项目/n/N 招标/n/N 单位/n/N 为/p/N 滁州/ns/N 皇庆/ns/N 圩/n/N 现代农业/n/N 开发/v/N 有限公司/n/N 、/x/N 滁州市/ns/Y 南谯/nr/Y 城乡建设/l/Y 投资/vn/Y 发展/vn/Y 有限公司/n/Y
18869254	连平县住房和城乡规划建设局	深圳市铁汉生态环境股份有限公司(以下简称“铁汉生态”或“本公司”、“公司”)于近日收到招标代理机构深圳市国际招标有限公司及招标人连平县住房和城乡规划建设局(以下简称“招标人”)发来的《中标通知书》	深圳市/ns/N 铁汉/n/N 生态环境/l/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 铁汉/n/N 生态/n/N ”/x/N 或/c/N “/x/N 本/r/N 公司/n/N ”/x/N 、/x/N “/x/N 公司/n/N ”/x/N )/x/N 于/p/N 近日/t/N 收到/v/N 招标/n/N 代理/n/N 机构/n/N 深圳市/ns/N 国际/n/N 招标/n/N 有限公司/n/N 及/c/N 招标人/n/N 连平县/ns/Y 住房/n/Y 和/c/Y 城乡规划/n/Y 建设局/nt/Y (/x/N 以下/f/N 简称/v/N “/x/N 招标人/n/N ”/x/N )/x/N 发来/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N
18869254	连平县住房和城乡规划建设局	1、该项目招标人为连平县住房和城乡规划建设局	1/x/N 、/x/N 该/r/N 项目/n/N 招标人/n/N 为/p/N 连平县/ns/Y 住房/n/Y 和/c/Y 城乡规划/n/Y 建设局/nt/Y
1509649	乌鲁木齐市市政工程建设处通知	公司于近日收到乌鲁木齐市市政工程建设处通知,公司中标乌鲁木齐市市政工程建设处乌鲁木齐市会展大道新建道路工程第二标段工程,中标金额人民币67,408,609.95元	公司/n/N 于/p/N 近日/t/N 收到/v/N 乌鲁木齐市/ns/Y 市政工程/n/Y 建设/vn/Y 处/n/Y 通知/v/Y ,/x/N 公司/n/N 中标/n/N 乌鲁木齐市/ns/N 市政工程/n/N 建设/vn/N 处/n/N 乌鲁木齐市/ns/N 会展/vn/N 大道/n/N 新建/ns/N 道路/n/N 工程/n/N 第二/m/N 标段/n/N 工程/n/N ,/x/N 中标/n/N 金额/n/N 人民币/n/N 67/m/N ,/x/N 408/m/N ,/x/N 609.95/m/N 元/m/N
