"Label","ID","Date","Events"
20,3218,"1938 February 6","Black Sunday at Bondi Beach, Sydney, Australia: 300 swimmers are dragged out to sea in 3 freak waves; 80 lifesavers save all but 5."
35,3219,"1938 February 10","Carol II of Romania takes dictatorial powers."
35,3220,"1938 February 12","Chancellor Kurt von Schuschnigg of Austria meets Adolf Hitler at Berchtesgaden and, under threat of invasion, is forced to yield to German demands for greater Nazi participation in the Austrian government."
42,3221,"1938 February 14","The British naval base at Singapore begins operations."
35,3222,"1938 February 20","Sir Anthony Eden resigns as British Foreign Secretary following major disagreements with Prime Minister Neville Chamberlain over the best policy to follow in regards to Italy, and is succeeded by Lord Halifax."
6,3223,"1938 March 3","The Santa Ana River in California spills over its banks during a rainy winter, killing 58 people in Orange County and causing trouble as far inland as Palm Springs."
19,3224,"1938 March 3","Oil is discovered in Saudi Arabia."
11,3225,"1938 March 3","Sir Nevile Henderson, British Ambassador to Germany, presents a proposal to Hitler for an international consortium to rule much of Africa (in which Germany would be assigned a leading role) in exchange for a German promise never to resort to war to change her frontiers; Hitler rejects the British offer."
31,3226,"1938 March 12","Anschluss: German troops occupy Austria; annexation is declared the following day."
11,3227,"1938 March 14","French Premier LÃ©on Blum reassures the Czechoslovak government that France will honor its treaty obligations to aid Czechoslovakia in event of German invasion."
35,3228,"1938 March 15","Soviet Union announces officially that Nikolai Bukharin has been executed."
11,3229,"1938 March 17","Poland presents an ultimatum to Lithuania, to establish normal diplomatic relations that were severed over the Vilnius Region."
9,3230,"1938 March 18","Mexico nationalizes all foreign-owned oil properties within its borders."
35,3231,"1938 March 18","General Werner von Fritsch is acquitted of charges of homosexuality at his court-martial."
41,3232,"1938 March 27","Italian mathematician Ettore Majorana disappears suddenly under mysterious circumstances while travelling by ship from Palermo to Naples."
35,3233,"1938 March 28","At a meeting with Hitler in Berlin Konrad Henlein is instructed to make increasing demands concerning the status of the Sudetenland but to avoid reaching an agreement with the Czechoslovak authorities."
35,3234,"1938 April 10","Ã‰douard Daladier becomes prime minister of France. He appoints as Foreign Minister a leading advocate of the policy of appeasement, Georges Bonnet, effectively negating Blum's reassurances of March 14."
21,3235,"1938 April 10","In a result that astonished even Hitler, the Austrian electorate in a national referendum approved Anschluss by an overwhelming 99.73%."
18,3236,"1938 April 16","London and Rome sign an agreement that sees Britain recognise Italian control of Ethiopia in return for an Italian pledge to withdraw all its troops from Spain at the conclusion of the civil war there."
26,3237,"1938 April 18","First appearance of Superman (as a backup story), in Action Comics #1 (cover date June). The date is established in court documents released during the legal battle over the rights to Superman. On April 18th 2018, DC Comics released Action Comics #1000."
35,3238,"1938 April 24","Konstantin PÃ_ts becomes the first President of Estonia."
17,3239,"1938 April 25","Erie Railroad Co. v. Tompkins: The U.S. Supreme Court overturns a century of federal common law."
11,3240,"1938 May 5","The Vatican recognizes Francisco Franco's government in Spain."
25,3241,"1938 May 5","General Ludwig Beck, Chief of the German Army's General Staff, submits a memorandum to Hitler opposing Fall GrÃ_n (Case Green), the plan for a war with Czechoslovakia, under the grounds that Germany is ill-prepared for the world war likely to result from such an attack."
35,3242,"1938 May 12","U.S. Secretary of State Cordell Hull rejects the Soviet Union's offer of a joint defence pact to counter the rise of Nazi Germany."
31,3243,"1938 May 14","Chile withdraws from the League of Nations."
26,3244,"1938 May 17","Information Please debuts on NBC Radio in the United States."
41,3245,"1938 May 19","May Crisis begins when Czechoslovak intelligence receives reports of menacing German military concentrations. (It later appears the reports are false.)"
18,3246,"1938 May 20","Czechoslovakia orders a partial mobilization of its armed forces along the German border."
3,3247,"1938 May 21","Matsuo Toi kills 30 people in a village in Okayama, Japan, in the Tsuyama massacre, the world's worst spree killing by an individual until 1982."
11,3248,"1938 May 23","No evidence of German troop movements against Czechoslovakia is found and May Crisis subsides. Germany is, nevertheless, perceived to have backed down in the face of Czechoslovak mobilization and international diplomatic unity but the issue of the future of the Sudetenland is far from resolved."
3,3249,"1938 May 25","Spanish Civil War: Alicante is bombed by fascist rebels, resulting in 313 deaths."
11,3250,"1938 May 25","The Soviet ambassador to the United States, A. A. Troyanovsky, declares Moscow ready to defend Czechoslovakia."
34,3251,"1938 May 25","Estadio Monumental Antonio Vespucio Liberti, a notable sports venue in Argentina, officially opens in Buenos Aires."
33,3252,"1938 May 28","In a conference at the Reich Chancellery, Hitler declares his decision to destroy Czechoslovakia by military force, and orders the immediate mobilization of 96 Wehrmacht divisions."
41,3253,"1938 June 5 & 7","1938 Yellow River flood, created by the Nationalist government in central China breaching embankments during the early stage of the Second Sino-Japanese War in an attempt to halt the rapid advance of Japanese forces. The floods kill at least 400,000, cover and destroy thousands of square kilometers of farmland and shifts the mouth of the Yellow River hundreds of kilometers to the south."
5,3254,"1938 June 11","Fire destroys 214 buildings in Ludza, Latvia."
14,3255,"1938 June 15","LÃ¡szlÃ_ BÃ_rÃ_ patents the ballpoint pen in Britain."
26,3256,"1938 June 19","Italy beats Hungary 4â€“2 to win the 1938 World Cup."
26,3257,"1938 June 22","Heavyweight boxing champion Joe Louis knocks out Max Schmeling in the first round of their rematch at Yankee Stadium in New York City."
17,3258,"1938 June 23","The Civil Aeronautics Act is signed into law, forming the Civil Aeronautics Authority as an independent agency in the United States with effect from August 22."
41,3259,"1938 June 23","Marineland opens near St. Augustine, Florida."
20,3260,"1938 June 24","A 450-metric-ton (496-short-ton) meteorite explodes about 12 miles (19 km) above the earth near Chicora, Pennsylvania."
18,3261,"1938 July","The Mauthausen concentration camp is built in Austria."
27,3262,"1938 July 1","The South African Press Association is established with offices in Cape Town, Johannesburg, Durban, Bloemfontein and Pretoria."
19,3263,"1938 July 3","The steam locomotive Mallard sets the world speed record for steam by reaching 125.88 mph on the London and North Eastern Railway."
26,3264,"1938 July 3","The last reunion of the Blue and Gray commemorates the 75th anniversary of the Battle of Gettysburg in Gettysburg, Pennsylvania."
39,3265,"1938 July 5","The Non-Intervention Committee reaches an agreement to withdraw all foreign volunteers from the Spanish Civil War. The agreement is respected by most Republican foreign volunteers, notably by those from England and the United States, but is ignored by the governments of Germany and Italy."
22,3266,"1938 July 6","The Evian Conference on Refugees is convened in France. No country in Europe is prepared to accept Jews fleeing persecution and the United States will only take 27,370."
41,3267,"1938 July 14","Howard Hughes sets a new record by completing a 91-hour airplane flight around the world."
41,3268,"1938 July 18","Wrong Way Corrigan takes off from New York, ostensibly heading for California. He lands in Ireland instead."
11,3269,"1938 July 22","Britain rejected a proposal from its ambassador in Berlin, Nevile Henderson, for a four power summit on Czechoslovakia consisting of Britain, France, Germany and the U.S.S.R. London would under no circumstances accept the U.S.S.R. as a diplomatic partner."
41,3270,"1938 July 24","First ascent of the Eiger north face."
2,3271,"1938 July 28","A revolt against the Ioannis Metaxas dictatorship is put down in Chania, Greece."
20,3272,"1938 July 28","Hawaii Clipper disappears with six passengers and nine crew en route from Guam to Manila."
34,3273,"1938 August","In the face of overwhelming Japanese military pressure, Chiang Kai-shek withdraws his government to Chungking."
35,3274,"1938 August 3","Lord Runciman, sent by Neville Chamberlain, arrives in Prague on his Mission of mediation in the Sudetenland dispute."
35,3275,"1938 August 10","At a secret summit with his leading generals, Hitler attacks General Beck's arguments against Fall GrÃ_n, winning the majority of his senior officers over to his point of view."
35,3276,"1938 August 18","The Thousand Islands Bridge, connecting the United States with Canada, is dedicated by U.S. President Franklin D. Roosevelt."
35,3277,"1938 August 18","Colonel General Ludwig Beck, convinced that Hitler's decision to attack Czechoslovakia will lead to a general European war, resigns his position as Chief of the Army General Staff in protest."
35,3278,"1938 August 18","Ewald von Kleist-Schmenzin arrives in London looking for British support for an anti-Nazi putsch, using the looming crisis over the Sudetenland as a pretext. His private mission is dismissed by Neville Chamberlain as unimportant (Chamberlain refers to von Kleist as a ""Jacobite""), but he finds a sympathetic if powerless audience in Winston Churchill."
35,3279,"1938 August 23","Hitler, hosting a dinner on board the ocean liner Patria in Kiel Bay, tells the Regent of Hungary, Admiral Horthy, that action against Czechoslovakia is imminent and that ""he who wants to sit at the table must at least help in the kitchen"", a reference to Horthy's designs on Carpathian Ruthenia."
35,3280,"1938 August 27","General Beck leaves office as Chief of the General Staff; he is replaced by General Franz Halder."
35,3281,"1938 August 28","Lord Runciman's mission to mitigate the Sudetenland crisis begins to break down. British Prime Minister Neville Chamberlain recalls the British Ambassador Nevile Henderson from Berlin, to instruct Henderson to set up a personal meeting between Chamberlain and Hitler."
31,3282,"1938 September","The European crisis over German demands for annexation of the Sudeten borderland of Czechoslovakia becomes increasingly severe."
11,3283,"1938 September 2","Soviet Ambassador to Britain Ivan Maisky calls on Winston Churchill, telling him that Soviet Foreign Commissar Maxim Litvinov has expressed to the French chargÃ© d'affaires in Moscow that the Soviet Union is willing to fight over the territorial integrity of Czechoslovakia."
11,3284,"1938 September 4","During the ceremony marking the unveiling of a plaque at Pointe de Grave, France, celebrating Franco-American friendship; American Ambassador William Bullitt in a speech states, ""France and the United States were united in war and peace"", leading to much speculation in the press that if war did break out over Czechoslovakia, then the United States would join the war on the Allied side."
35,3285,"1938 September 5","Czechoslovakian President Edvard BeneÅ¡ invites mid-level representatives of the Sudeten Germans to the HradÄçany palace, to tell them he will accept whatever demands they care to make, provided the Sudetenland remains part of the Republic of Czechoslovakia."
35,3286,"1938 September 6","What eventually proves to be the last of the ""Nuremberg Rallies"" begins. It draws worldwide attention because it is widely assumed Hitler, in his closing remarks, will signal whether there will be peace with or war over Czechoslovakia."
27,3287,"1938 September 7","The Times publishes a lead article which calls on Czechoslovakia to cede the Sudetenland to Germany."
35,3288,"1938 September 9","U.S. President Franklin D. Roosevelt disallows the popular interpretation of Bullitt's speech at a press conference at the White House. Roosevelt states it is ""100% wrong"" the U.S. would join a ""stop-Hitler bloc"" under any circumstances and makes it quite clear that in the event of German aggression against Czechoslovakia, the U.S. would remain neutral."
35,3289,"1938 September 10","Hermann GÃ¶ring, in a speech at Nuremberg, calls the Czechs a ""miserable pygmy race"" who are ""harassing the human race."" That same evening, Edvard BeneÅ¡, President of Czechoslovakia, makes a broadcast in which he appeals for calm."
35,3290,"1938 September 12","Hitler makes his much-anticipated closing address at Nuremberg, in which he vehemently attacks the Czech people and President BeneÅ¡. American news commentator Hans von Kaltenborn begins his famous marathon of broadcast bulletins over the CBS Radio Network with a summation of Hitler's address."
2,3291,"1938 September 13","The followers of Konrad Henlein begin an armed revolt against the Czechoslovak government in Sudetenland. Martial law is declared and after much bloodshed on both sides order is temporarily restored. Neville Chamberlain personally sends a telegram to Hitler urgently requesting that they both meet."
35,3292,"1938 September 15","Neville Chamberlain arrives in Berchtesgaden to begin negotiations with Hitler over the Sudetenland."
35,3293,"1938 September 16","Lord Runciman is recalled to London from Prague in order to brief the British government on the situation in the Sudetenland."
35,3294,"1938 September 17","Neville Chamberlain returns temporarily to London to confer with his cabinet. The U.S.S.R. Red Army masses along the Ukrainian frontier. Rumania agrees to allow Soviet soldiers free passage across her territory to defend Czechoslovakia."
22,3295,"1938 September 18","During a meeting between Neville Chamberlain, the recently elected Premier of France, Ã‰douard Daladier, and Daladier's Foreign Minister, Georges Bonnet, it becomes apparent neither the British nor the French governments are prepared to go to war over the Sudetenland. The Soviet Union declares it will come to the defence of Czechoslovakia only if France honours her commitment to defend Czechoslovak independence."
35,3296,"1938 September 18","Mussolini makes a speech in Trieste, Italy where he indicates that Italy is supporting Germany in the Sudeten crisis."
11,3297,"1938 September 21","In the early hours of the day, representatives of the French and British governments call on Czechoslovak President Edvard BeneÅ¡ to tell him France and Britain will not fight Hitler if he decides to annex the Sudetenland by force. Late in the afternoon the Czechoslovak government capitulates to the French and British demands."
11,3298,"1938 September 21","Winston Churchill warns of grave consequences to European security if Czechoslovakia is partitioned. The same day, Soviet Foreign Commissar Maxim Litvinov makes a similar statement in the League of Nations."
4,3299,"1938 September 21","The 1938 New England hurricane strikes Long Island and southern New England, killing over 300 along the Rhode Island shoreline and 600 altogether."
11,3300,"1938 September 21","Following the capitulation of the Czech government to Germany's demands, both Poland and Hungary demand slices of Czech territory where their nationals reside."
35,3301,"1938 September 22","Unable to survive the previous day's capitulation to the demands of the English and French governments, Czechoslovak premier Milan HodÅ_a resigns. General Jan SyrovÃ_ takes his place."
35,3302,"1938 September 22","Neville Chamberlain arrives in the city of Bad Godesberg for another round of talks with Hitler over the Sudetenland crisis. Hitler raises his demands to include occupation of all German Sudeten territories by October 1. That night after a telephone conference, Chamberlain reverses himself and advises the Czechoslovaks to mobilize."
26,3303,"1938 September 22","Olsen and Johnson's musical comedy revue Hellzapoppin begins its 3-year run on Broadway."
18,3304,"1938 September 23","The Czechoslovak army mobilizes."
11,3305,"1938 September 23","As the Polish army masses along the Czech border, the Soviet Union warns Poland that if it crosses the Czech frontier, Russia will regard the 1932 non-aggression pact between the two countries as void."
11,3306,"1938 September 24","Sir Eric Phipps, British Ambassador to France, reports to London, ""all that is best in France is against war, almost at any price"", being opposed only by a ""small, but noisy and corrupt, war group"". Phipps's report creates major doubts about the ability and/or willingness of France to go to war."
35,3307,"1938 September 24","At 1:30 AM, Adolf Hitler and Neville Chamberlain conclude their talks on the Sudetenland. Chamberlain agrees to take Hitler's demands, codified in the Godesberg Memorandum, personally to the Czech Government. The Czech Government rejects the demands, as does Chamberlain's own cabinet. The French Government also initially rejects the terms and orders a partial mobilization of the French army."
41,3308,"1938 September 26","In a vitriolic speech at Berlin's Sportpalast, Hitler defies the world and implies war with Czechoslovakia will begin at any time."
22,3309,"1938 September 28","As his self-imposed October 1 deadline for occupation of the Sudetenland approaches, Adolf Hitler invites Italian Duce Benito Mussolini, French Premier Edourd Deladier and British Prime Minister Neville Chamberlain to one last conference in Munich. The Czechs themselves are not invited."
35,3310,"1938 September 29","Colonel Graham Christie, former British military attachÃ© in Berlin, is told by Carl Friedrich Goerdeler that the mobilization of the Royal Navy has badly damaged the popularity of the Nazi regime, as the German public realizes that Fall GrÃ_n is likely to cause a world war."
22,3311,"1938 September 29","Munich Agreement: German, Italian, British and French leaders agree to German demands regarding annexation of the Sudetenland in Czechoslovakia. The Czechoslovak government is largely excluded from the negotiations and is not a signatory to the agreement."
31,3312,"1938 September 29","The Republic of Hatay is declared in Syria"
41,3313,"1938 October","The Imperial Japanese Army largely overruns Canton."
11,3314,"1938 October 1","German troops march into the Sudetenland. The Polish government gives the Czech government an ultimatum stating that Zaolzie region must be handed over within twenty-four hours. The Czechs have little choice but to comply. Polish forces occupy Zaolzie."
2,3315,"1938 October 2","Tiberias massacre: Arab raiders murder 19 Jewish immigrants."
35,3316,"1938 October 2","Disgusted with Neville Chamberlain's conduct at Munich, Duff Cooper resigns his post as First Lord of the Admiralty. With his resignation, formal debate begins in the Parliament of the United Kingdom on the Munich Agreement, but with Chamberlain at the peak of his popularity, there can be little doubt His Majesty's Government will receive a vote of confidence."
13,3317,"1938 October 3","Production of the Jefferson nickel begins in the United States, replacing the Buffalo nickel (last struck in April). The new nickel is released on November 15."
41,3318,"1938 October 4","The Republican forces in the Spanish Civil War begin withdrawing their foreign volunteers from combat as agreed on July 5."
35,3319,"1938 October 5","Edvard BeneÅ¡, president of Czechoslovakia, resigns."
39,3320,"1938 October 5","Nuremberg Laws In Nazi Germany, Jews' passports are invalidated and those who need a passport for emigration purposes are given one marked with the letter J (""Jude"" â€“ ""Jew"")."
34,3321,"1938 October 10","The Blue Water Bridge opens, connecting Port Huron, Michigan and Sarnia, Ontario."
35,3322,"1938 October 16","Winston Churchill, in a broadcast address to the United States, condemns the Munich Agreement as a defeat and calls upon America and western Europe to prepare for armed resistance against Hitler."
39,3323,"1938 October 18","The German government expels 12,000 Polish Jews living in Germany; the Polish government accepts 4,000 and refuses admittance to the remaining 8,000, who are forced to live in the no-man's land on the German-Polish frontier."
35,3324,"1938 October 21","In direct contravention of the recently signed Munich Agreement, Adolf Hitler circulates among his high command a secret memorandum stating that they should prepare for the ""liquidation of the rest of Czechoslovakia"" and the occupation of Memel."
17,3325,"1938 October 24","The minimum wage is established by law in the United States."
42,3326,"1938 October 24","French Foreign Minister Georges Bonnet carries out a major purge of the Ministry of Foreign Affairs, dismissing or exiling a number of anti-appeasement officials such as Pierre Comert and RenÃ© Massigli."
11,3327,"1938 October 24","At a ""friendly luncheon"" in Berchtesgaden, German foreign minister Joachim von Ribbentrop tells JÃ_zef Lipski, the Polish ambassador to Germany, that the Free City of Danzig must return to Germany, that the Germans must be given extraterritorial rights in the Polish Corridor, and that Poland must sign the Anti-Comintern Pact."
27,3328,"1938 October 27","DuPont announces a name for its new synthetic yarn: ""nylon""."
39,3329,"1938 October 27","Jews with Polish citizenship are evicted from Nazi Germany."
26,3330,"1938 October 30","Orson Welles' radio adaptation of The War of the Worlds is broadcast, causing panic in various parts of the United States."
41,3331,"1938 November 1","Horse racing: Seabiscuit defeats War Admiral by four lengths in their famous match race at Pimlico Race Course in Baltimore."
11,3332,"1938 November 2","Arising from The Munich Agreement Hungary is ""awarded"" the Felvidek region of South Slovakia and Ruthenia."
33,3333,"1938 November 4","At a public meeting in Epping, Winston Churchill narrowly survives an attempt by fellow Conservative and constituent Sir Colin Thornton-Kemsley to remove him from Parliament."
35,3334,"1938 November 7","Ernst vom Rath, the Third Secretary at the German Embassy in Paris, is assassinated by Herschel Grynszpan."
3,3335,"1938 November 9","Holocaust â€“ Kristallnacht: In Germany, the ""night of broken glass"" begins as Nazi activists and sympathizers loot and burn Jewish businesses (the all night affair sees 7,500 Jewish businesses destroyed, 267 synagogues burned, 91 Jews killed and at least 25,000 Jewish men arrested)."
26,3336,"1938 November 10","On the eve of Armistice Day, Kate Smith sings Irving Berlin's God Bless America for the first time on her weekly radio show."
35,3337,"1938 November 10","Ä°smet Ä°nÃ¶nÃ_ becomes the second president of Turkey."
42,3338,"1938 November 11","CelÃ¢l Bayar forms the new government of Turkey. (10th government; Celal Bayar had served twice as a prime minister)"
17,3339,"1938 November 12","French Finance Minister Paul Reynaud brings into effect a series of laws aiming at improving French productivity (thus aiming to undo the economic weaknesses which led to Munich), and undoes most of the economic and social laws of the Popular Front."
11,3340,"1938 November 16","Britain formally recognises Italy's control of Ethiopia. In return Mussolini agrees to withdraw 10,000 troops from Spain."
19,3341,"1938 November 16","LSD is first synthesized by Albert Hofmann from ergotamine at the Sandoz Laboratories in Basel."
3,3342,"1938 November 16","The first reported ""attack"" of the Halifax Slasher mass hysteria incident in England."
35,3343,"1938 November 18","Trade union members elect John L. Lewis as the first president of the Congress of Industrial Organizations in the United States."
11,3344,"1938 November 25","French Foreign Minister Georges Bonnet informs LÃ©on NoÃ«l, the French Ambassador to Poland, that France should find an excuse for terminating the 1921 Franco-Polish alliance."
43,3345,"1938 November 30","The Czechoslovak parliament elects Emil HÃ¡cha as the new president of Czechoslovakia."
11,3346,"1938 November 30","Benito Mussolini and his Foreign Minister Count Galeazzo Ciano order ""spontaneous"" demonstrations in the Italian Chamber of Deputies, demanding that France cede Tunisia, Nice, Corsica and French Somaliland to Italy. This begins an acute crisis in Franco-Italian relations that lasts until March 1939."
35,3347,"1938 November 30","Corneliu Zelea Codreanu, leader of the Romanian fascist Iron Guard, is murdered on the orders of King Carol II of Romania. Officially, Codreanu and the 13 other Iron Guard leaders are ""shot while trying to escape""."
2,3348,"1938 November 30","A general strike is called in France by the French Communist Party to protest the laws of November 12."
11,3349,"1938 December","President Roosevelt agrees to loan $25 million to Chiang Kai-shek, cementing the Sino-American relationship and angering the Japanese government."
35,3350,"1938 December 1","Slovakia granted the status of an autonomous state under the Catholic priest Fr. Joseph Tiso."
11,3351,"1938 December 6","German Foreign Minister Joachim von Ribbentrop visits Paris, where he is allegedly informed by French Foreign Minister Georges Bonnet that France now recognizes all of Eastern Europe as being in Germany's exclusive sphere of influence. Bonnet's alleged statement (he subsequently always denies making the remark) to Ribbentrop is a major factor in German policy in 1939."
43,3352,"1938 December 11","Kingdom of Yugoslavia parliamentary election: The opposition gains votes but not seats."
43,3353,"1938 December 11","Following elections in the Lithuanian city of Memel the Lithuanian Nazi party wins over 90% of the votes."
18,3354,"1938 December 13","The Neuengamme concentration camp opens near Hamburg."
39,3355,"1938 December 15","Government of the Netherlands closes its border to refugees."
34,3356,"1938 December 16","The cornerstone of the Voortrekker Monument is laid in Pretoria."
27,3357,"1938 December 16","MGM releases its successful film version of Charles Dickens's A Christmas Carol."
19,3358,"1938 December 17","Otto Hahn discovers the nuclear fission of uranium, the scientific and technological basis of nuclear power, which marks the beginning of the Atomic Age."
41,3359,"1938 December 23","A coelacanth, a fish thought to have been extinct, is caught off the coast of South Africa near Chalumna River."
7,3360,"1938 December 27","A massive avalanche of snow hits a construction worker dormitory site in Kurobe, Japan, killing 87."
29,3361,"1939 January 3","EFE, a news agency, based in Madrid, Spain, officially founded."
35,3362,"1939 January 5","Amelia Earhart is officially declared dead after her disappearance."
19,3363,"1939 January 6","Naturwissenschaften publishes evidence that nuclear fission has been achieved by Otto Hahn."
5,3364,"1939 January 13","Black Friday: 71 people die across Victoria in one of Australia's worst ever bushfires."
31,3365,"1939 January 14","Norway claims Queen Maud Land in Antarctica."
11,3366,"1939 January 23","""Dutch War Scare"": Admiral Wilhelm Canaris of the Abwehr leaks misinformation to the effect that Germany plans to invade the Netherlands in February, with the aim of using Dutch air-fields to launch a strategic bombing offensive against Britain. The ""Dutch War Scare"" leads to a major change in British policies towards Europe."
7,3367,"1939 January 24","1939 ChillÃ¡n earthquake: An earthquake in Chile kills 30,000 and razes about 50,000 sq mi (130,000 km2)."
42,3368,"1939 January 25","Refik Saydam forms the new (11th) government of Turkey."
1,3369,"1939 January 26","Spanish Civil War: Spanish Nationalist troops, aided by Italy, take Barcelona."
11,3370,"1939 January 26","In Paris, French Foreign Minister Georges Bonnet, in response to rumours (which are true) that he is seeking to end the French alliance system in Eastern Europe, gives a speech highlighting his government's commitment to the cordon sanitaire."
18,3371,"1939 January 27","Adolf Hitler orders Plan Z, a 5-year naval expansion programme intended to provide for a huge German fleet capable of crushing the Royal Navy by 1944. The Kriegsmarine is given the first priority on the allotment of German economic resources."
31,3372,"1939 February 2","Hungary joins the Anti-Comintern Pact."
35,3373,"1939 February 6","British Prime Minister Neville Chamberlain states in the House of Commons that any German attack on France will be automatically considered an attack on Britain."
11,3374,"1939 February 6","In a response to Georges Bonnet's speech of January 26, German Foreign Minister Joachim von Ribbentrop, referring to Bonnet's alleged statement of December 6, 1938, accepting Eastern Europe as being in Germany's exclusive sphere of influence, protests that all French security commitments in that region are ""now off limits""."
2,3375,"1939 February 10","Spanish Nationalists complete their offensive in Catalonia."
35,3376,"1939 February 10","Pope Pius XI dies of a heart attack in Rome."
26,3377,"1939 February 15","Stagecoach premieres in New York City and Los Angeles."
37,3378,"1939 February 18","The Golden Gate International Exposition opens in San Francisco."
11,3379,"1939 February 27","The United Kingdom and France recognize Franco's government."
5,3380,"1939 February 27","Borley Rectory in England is destroyed by fire."
17,3381,"1939 February 27","Sit-down strikes are outlawed by the Supreme Court of the United States."
2,3382,"1939 March","The 1936â€“39 Arab revolt in Palestine ends."
20,3383,"1939 March 1","An Imperial Japanese Army ammunition dump explosion on the outskirts of Osaka kills 94."
35,3384,"1939 March 2","Pope Pius XII (Cardinal Pacelli) succeeds Pope Pius XI as the 260th pope."
35,3385,"1939 March 3","In Bombay, Mahatma Gandhi begins a fast protesting against British rule in India."
41,3386,"1939 March 3","Students at Harvard University demonstrate the new tradition of swallowing goldfish to reporters."
26,3387,"1939 March 3","In Durban, South Africa the Timeless Test begins between England and South Africa, the longest game of cricket ever played. It is abandoned twelve days later when the English team has to catch the last ferry home."
35,3388,"1939 March 13","Adolf Hitler advises Jozef Tiso to declare Slovakia's independence in order to prevent its partition by Hungary and Poland."
26,3389,"1939 March 13","Irish writer Flann O'Brien's comic metafiction At Swim-Two-Birds is published in London but attracts little attention at this time."
35,3390,"1939 March 14","The Slovak provincial assembly proclaims independence; priest Jozef Tiso becomes the president of the independent Slovak government."
31,3391,"1939 March 15","German troops occupy the remaining part of Bohemia and Moravia; Czechoslovakia ceases to exist. The Ruthenian region of Czechoslovakia declares independence as Carpatho-Ukraine."
38,3392,"1939 March 16","Princess Fawzia Fuad of Egypt marries Shah Mohammad Reza Pahlavi of Iran."
1,3393,"1939 March 16","Hungary invades Carpatho-Ukraine; final resistance ends on March 18."
35,3394,"1939 March 17","British Prime Minister Neville Chamberlain gives a speech in Birmingham, stating that Britain will oppose any effort at world domination on the part of Germany."
18,3395,"1939 March 17","The nationalist governments of Spain and Portugal sign the Iberian Pact in Lisbon, pledging mutual defence of the Iberian Peninsula and neutrality in the event of a general European war."
11,3396,"1939 March 18","""Romanian War Scare"": Virgil Tilea, the Romanian Minister in London, spreads false rumours that Romania is on the verge of a German attack."
35,3397,"1939 March 19","Hitler sends a registered letter to the government of Lithuania stating that Germany intends to annex the port of Memel."
11,3398,"1939 March 20","At an emergency meeting in London to deal with the Romanian crisis, French Foreign Minister Georges Bonnet suggests to Lord Halifax that the ideal state for saving Romania from a German attack is Poland."
26,3399,"1939 March 21","In London: the Ordo Templi Orientis publish Aleister Crowley's Eight Lectures on Yoga."
1,3400,"1939 March 22","After an ultimatum of March 20, Nazi Germany takes Memelland from Lithuania."
26,3401,"1939 March 22","In the U.S., undefeated LIU tops undefeated Loyola of Chicago in the championship game of the second annual National Invitation Tournament, 44â€“32. LIU's 24â€“0 final record is the first perfect season of college basketball's postseason tournament era."
1,3402,"1939 March 23","The Slovakâ€“Hungarian War begins."
16,3403,"1939 March 24","Marks the seventh successive year of the worldwide boycott of all German exports initiated by front page declarations in Britain and the U.S."
26,3404,"1939 March 27","The University of Oregon defeats Ohio State University 46â€“33 in Evanston, Illinois, to win the championship of the first NCAA men's basketball tournament."
35,3405,"1939 March 28","Dictator Francisco Franco assumes power in Madrid, remaining in power until his death in 1975."
41,3406,"1939 March 28","American adventurer Richard Halliburton delivers a last message from a Chinese junk, before he disappears on a voyage across the Pacific Ocean. In 1945, some wreckage identified as a rudder and believed to belong to the junk, washed ashore in San Diego, California."
1,3407,"1939 April 1","The Spanish Civil War comes to an end when the last of the Republican forces surrender."
35,3408,"1939 April 1","The rumor that Hitler is dead sweeps the United States as millions of CBS radio listeners hear the FÃ_hrer cut off in mid-speech during a shortwave relay of his address at the dedication of the Tirpitz in Wilhelmshaven."
41,3409,"1939 April 3","Adolf Hitler orders the German military to start planning for Fall WeiÃŸ, the codename for the invasion of Poland."
42,3410,"1939 April 3","Refik Saydam forms the new government in Turkey (12th government; Refik Saydam had served twice as a prime minister)."
35,3411,"1939 April 4","Faisal II becomes King of Iraq at age 3 following the death of his father, Ghazi, in an automobile incident."
1,3412,"1939 April 4","The Slovakâ€“Hungarian War ends with Slovakia ceding eastern territories to Hungary."
11,3413,"1939 April 4","Polish Foreign Minister Colonel JÃ_zef Beck, in London, signs a treaty designed to bilateralize Neville Chamberlain's ""Polish Guarantee"" of March 31."
41,3414,"1939 April 7","Italy invades Albania; King Zog flees."
35,3415,"1939 April 7","Joseph Lyons, 10th Prime Minister of Australia, dies in office from a heart attack at the age of 59. He was briefly replaced by his deputy Earle Page, who served as the 11th Prime Minister until a UAP leadership election is held to replace Lyons."
26,3416,"1939 April 9","African-American singer Marian Anderson performs before 75,000 people at the Lincoln Memorial in Washington, D.C., after having been denied the use both of Constitution Hall by the Daughters of the American Revolution, and of a public high school by the federally controlled District of Columbia. First Lady of the United States Eleanor Roosevelt resigns from the DAR because of their decision."
31,3417,"1939 April 11","Hungary leaves the League of Nations."
11,3418,"1939 April 13","Britain offers a ""guarantee"" to Romania and Greece."
26,3419,"1939 April 14","John Steinbeck's novel The Grapes of Wrath is first published, in the United States."
22,3420,"1939 April 14","At a meeting in Paris, French Foreign Minister Georges Bonnet meets with Soviet Ambassador Jakob Suritz, and suggests that a ""peace front"" comprising France, the Soviet Union, Great Britain, Poland and Romania would deter Germany from war."
